Reference Number,description,Assigned to,Assignment Group,Affected Service/CI,Affected Service/CI Category,Affected Service/CI Subcategory,Closed Date,Created,Created by,Task Summary,Closed by,Closure Code,Closure Code 2
INC0022288419,"Nutanix/Alert / CPU Average Load critically high for a long time on CVM {cvm_ip} / SystemIndicator ControllerVM / DCBNTXAHVPR1006 - CPU load is very high for ldavg-5 for a long time: 874298.04, on node 172.18.96.201 - Event ID:0242ac11-0007-aa67-11ec-e8953b122a53",Girish Rajanal,DBSP-INT-NGCS-TIER2-NUTANIX,dcbntxahvpr1006.de.db.com,,,,10 June 2022,zip_interface,,,,
INC0022287141,"Nutanix/Alert / CPU Average Load critically high for a long time on CVM {cvm_ip} / SystemIndicator ControllerVM / DCBNTXAHVPR0802 - CPU load is very high for ldavg-5 for a long time: 41902553.44, on node 172.18.96.173 - Event ID:0242ac11-0007-aa67-11ec-e88585cde3f2",Rohit Gaur,DBSP-INT-NGCS-TIER2-NUTANIX,dcbntxahvpr0802.de.db.com,,,,10 June 2022,zip_interface,,,Capacity,CPU Load
INC0022289332,"Nutanix/Alert / CPU Average Load critically high for a long time on CVM {cvm_ip} / SystemIndicator ControllerVM / 2PKNTXAHVPR0818 - CPU load is very high for ldavg-5 for a long time: 41156862.88, on node 172.31.108.183 - Event ID:0242ac11-0015-bb1f-11ec-e8a36aa87220",Balagam-Subramanya Naikar,DBSP-INT-NGCS-TIER2-NUTANIX,2pkntxahvpr0818.us.db.com,,,,10 June 2022,zip_interface,,,Capacity,CPU Load
INC0022293722,Nutanix/Alert / Dynamic scheduling failure. / Performance Cluster / WDCNTXCLSPR0701 - Dynamic scheduling failure. Detected total 15 anomalies: 1) Detected CPU contention on host: WDCNTXAHVPR0714 2) Detected CPU contention on host: WDCNTXAHVPR0713 3) Detected CPU contention on host: WDCNTXAHVPR0712 4) Detected CPU contention on host: WDCNTXA - Event ID:0242ac11-0007-af61-11ec-e93fbdd2e8c1,Rohit Gaur,DBSP-INT-NGCS-TIER2-NUTANIX,wdcntxclspr0701.uk.db.com,,,,11 June 2022,zip_interface,,,Hardware,Not Listed
INC0022295012,Nutanix/Alert / Dynamic scheduling failure. / Performance Cluster / NJ3NTXCLSPR0701 - Dynamic scheduling failure. Detected total 15 anomalies: 1) Detected CPU contention on host: NJ3NTXAHVPR0701 2) Detected CPU contention on host: NJ3NTXAHVPR0702 3) Detected CPU contention on host: NJ3NTXAHVPR0708 4) Detected CPU contention on host: NJ3NTXA - Event ID:0242ac11-0015-bb1f-11ec-e9683d449ca8,Dipty-Ranjan Mohanty,DBSP-INT-NGCS-TIER2-NUTANIX,nj3ntxclspr0701.us.db.com,,,,11 June 2022,zip_interface,,,No Fault Found,False Alert
INC0022294983,Nutanix/Alert / Dynamic scheduling failure. / Performance Cluster / NJ3NTXCLSPR0501 - Dynamic scheduling failure. Detected total 17 anomalies: 1) Detected CPU contention on host: NJ3NTXAHVPR0521 2) Detected CPU contention on host: NJ3NTXAHVPR0520 3) Detected CPU contention on host: NJ3NTXAHVPR0519 4) Detected CPU contention on host: NJ3NTXA - Event ID:0242ac11-0015-bb1f-11ec-e9663711eb66,Balagam-Subramanya Naikar,DBSP-INT-NGCS-TIER2-NUTANIX,nj3ntxclspr0501.us.db.com,,,,11 June 2022,zip_interface,,,No Fault Found,False Alert
INC0022295148,Nutanix/Alert / Dynamic scheduling failure. / Performance Cluster / NJ3NTXCLSPR0301 - Dynamic scheduling failure. Detected total 18 anomalies: 1) Detected CPU contention on host: NJ3NTXAHVPR0307 2) Detected CPU contention on host: NJ3NTXAHVPR0306 3) Detected CPU contention on host: NJ3NTXAHVPR0305 4) Detected CPU contention on host: NJ3NTXA - Event ID:0242ac11-0015-bb1f-11ec-e96d13651051,Rohit Gaur,DBSP-INT-NGCS-TIER2-NUTANIX,nj3ntxclspr0301.us.db.com,,,,11 June 2022,zip_interface,,,Hardware,Not Listed
INC0022294965,Nutanix/Alert / Dynamic scheduling failure. / Performance Cluster / NJ3NTXCLSPR0301 - Dynamic scheduling failure. Detected total 18 anomalies: 1) Detected CPU contention on host: NJ3NTXAHVPR0306 2) Detected CPU contention on host: NJ3NTXAHVPR0305 3) Detected CPU contention on host: NJ3NTXAHVPR0304 4) Detected CPU contention on host: NJ3NTXA - Event ID:0242ac11-0015-bb1f-11ec-e965d1118e62,Rohit Gaur,DBSP-INT-NGCS-TIER2-NUTANIX,nj3ntxclspr0301.us.db.com,,,,11 June 2022,zip_interface,,,Hardware,Not Listed
INC0022295234,Nutanix/Alert / Dynamic scheduling failure. / Performance Cluster / NJ3NTXCLSPR0301 - Dynamic scheduling failure. Detected total 15 anomalies: 1) Detected CPU contention on host: NJ3NTXAHVPR0307 2) Detected CPU contention on host: NJ3NTXAHVPR0306 3) Detected CPU contention on host: NJ3NTXAHVPR0305 4) Detected CPU contention on host: NJ3NTXA - Event ID:0242ac11-0015-bb1f-11ec-e974a1eb40a2,Rohit Gaur,DBSP-INT-NGCS-TIER2-NUTANIX,nj3ntxclspr0301.us.db.com,,,,11 June 2022,zip_interface,,,Hardware,Not Listed
INC0022293166,Nutanix/Alert / Dynamic scheduling failure. / Performance Cluster / KCHNTXCLSPR0701 - Dynamic scheduling failure. Detected total 14 anomalies: 1) Detected CPU contention on host: KCHNTXAHVPR0713 2) Detected CPU contention on host: KCHNTXAHVPR0714 3) Detected CPU contention on host: KCHNTXAHVPR0715 4) Detected CPU contention on host: KCHNTXA - Event ID:0242ac11-000e-b27b-11ec-e91d72314eff,Rohit Gaur,DBSP-INT-NGCS-TIER2-NUTANIX,kchntxclspr0701.sg.db.com,,,,11 June 2022,zip_interface,,,Hardware,Not Listed
INC0022293074,Nutanix/Alert / Dynamic scheduling failure. / Performance Cluster / KCHNTXCLSPR0701 - Dynamic scheduling failure. Detected total 11 anomalies: 1) Detected CPU contention on host: KCHNTXAHVPR0713 2) Detected CPU contention on host: KCHNTXAHVPR0714 3) Detected CPU contention on host: KCHNTXAHVPR0715 4) Detected CPU contention on host: KCHNTXA - Event ID:0242ac11-000e-b27b-11ec-e915b5ffd4d4,Rohit Gaur,DBSP-INT-NGCS-TIER2-NUTANIX,kchntxclspr0701.sg.db.com,,,,11 June 2022,zip_interface,,,Hardware,Not Listed
INC0022293046,Nutanix/Alert / Dynamic scheduling failure. / Performance Cluster / KCHNTXCLSPR0501 - Dynamic scheduling failure. Detected total 17 anomalies: 1) Detected CPU contention on host: KCHNTXAHVPR0507 2) Detected CPU contention on host: KCHNTXAHVPR0519 3) Detected CPU contention on host: KCHNTXAHVPR0518 4) Detected CPU contention on host: KCHNTXA - Event ID:0242ac11-000e-b27b-11ec-e91198d8988f,Rohit Gaur,DBSP-INT-NGCS-TIER2-NUTANIX,kchntxclspr0501.sg.db.com,,,,11 June 2022,zip_interface,,,Hardware,Not Listed
INC0022293035,Nutanix/Alert / Dynamic scheduling failure. / Performance Cluster / KCHNTXCLSPR0301 - Dynamic scheduling failure. Detected total 18 anomalies: 1) Detected CPU contention on host: KCHNTXAHVPR0303 2) Detected CPU contention on host: KCHNTXAHVPR0302 3) Detected CPU contention on host: KCHNTXAHVPR0316 4) Detected CPU contention on host: KCHNTXA - Event ID:0242ac11-000e-b27b-11ec-e91121eae2b2,Rohit Gaur,DBSP-INT-NGCS-TIER2-NUTANIX,kchntxclspr0301.sg.db.com,,,,11 June 2022,zip_interface,,,Hardware,Not Listed
INC0022293065,Nutanix/Alert / Dynamic scheduling failure. / Performance Cluster / DSJNTXCLSPR0401 - Dynamic scheduling failure. Detected total 14 anomalies: 1) Detected CPU contention on host: DSJNTXAHVPR0417 2) Detected CPU contention on host: DSJNTXAHVPR0422 3) Detected CPU contention on host: DSJNTXAHVPR0421 4) Detected CPU contention on host: DSJNTXA - Event ID:0242ac11-000e-b27b-11ec-e91465b856aa,Rohit Gaur,DBSP-INT-NGCS-TIER2-NUTANIX,dsjntxclspr0401.sg.db.com,,,,11 June 2022,zip_interface,,,Hardware,Not Listed
INC0022293585,Nutanix/Alert / Dynamic scheduling failure. / Performance Cluster / DCBNTXCLSPR1801 - Dynamic scheduling failure. Detected total 12 anomalies: 1) Detected CPU contention on host: DCBNTXAHVPR1806 2) Detected CPU contention on host: DCBNTXAHVPR1810 3) Detected CPU contention on host: DCBNTXAHVPR1816 4) Detected CPU contention on host: DCBNTXA - Event ID:0242ac11-0007-aa67-11ec-e93561d91d6e,Rohit Gaur,DBSP-INT-NGCS-TIER2-NUTANIX,dcbntxclspr1801.de.db.com,,,,11 June 2022,zip_interface,,,Hardware,Not Listed
INC0022293660,Nutanix/Alert / Dynamic scheduling failure. / Performance Cluster / DCBNTXCLSPR1201 - Dynamic scheduling failure. Detected total 17 anomalies: 1) Detected CPU contention on host: DCBNTXAHVPR1224 2) Detected CPU contention on host: DCBNTXAHVPR1223 3) Detected CPU contention on host: DCBNTXAHVPR1222 4) Detected CPU contention on host: DCBNTXA - Event ID:0242ac11-0007-aa67-11ec-e93bd3f4c9cb,Rohit Gaur,DBSP-INT-NGCS-TIER2-NUTANIX,dcbntxclspr1201.de.db.com,,,,11 June 2022,zip_interface,,,Hardware,Not Listed
INC0022293698,Nutanix/Alert / Dynamic scheduling failure. / Performance Cluster / DCBNTXCLSPR0801 - Dynamic scheduling failure. Detected total 19 anomalies: 1) Detected CPU contention on host: DCBNTXAHVPR0824 2) Detected CPU contention on host: DCBNTXAHVPR0823 3) Detected CPU contention on host: DCBNTXAHVPR0822 4) Detected CPU contention on host: DCBNTXA - Event ID:0242ac11-0007-aa67-11ec-e93db36aa40f,Rohit Gaur,DBSP-INT-NGCS-TIER2-NUTANIX,dcbntxclspr0801.de.db.com,,,,11 June 2022,zip_interface,,,Hardware,Not Listed
INC0022293699,Nutanix/Alert / Dynamic scheduling failure. / Performance Cluster / CDCNTXCLSPR1001 - Dynamic scheduling failure. Detected total 18 anomalies: 1) Detected CPU contention on host: CDCNTXAHVPR1011 2) Detected CPU contention on host: CDCNTXAHVPR1001 3) Detected CPU contention on host: CDCNTXAHVPR1019 4) Detected CPU contention on host: CDCNTXA - Event ID:0242ac11-0007-af61-11ec-e93d900a3e51,Rohit Gaur,DBSP-INT-NGCS-TIER2-NUTANIX,cdcntxclspr1001.uk.db.com,,,,11 June 2022,zip_interface,,,Hardware,Not Listed
INC0022293789,Nutanix/Alert / Dynamic scheduling failure. / Performance Cluster / CDCNTXCLSPR1001 - Dynamic scheduling failure. Detected total 17 anomalies: 1) Detected CPU contention on host: CDCNTXAHVPR1011 2) Detected CPU contention on host: CDCNTXAHVPR1001 3) Detected CPU contention on host: CDCNTXAHVPR1019 4) Detected CPU contention on host: CDCNTXA - Event ID:0242ac11-0007-af61-11ec-e945b7b880c8,Rohit Gaur,DBSP-INT-NGCS-TIER2-NUTANIX,cdcntxclspr1001.uk.db.com,,,,11 June 2022,zip_interface,,,Hardware,Not Listed
INC0022293586,Nutanix/Alert / Dynamic scheduling failure. / Performance Cluster / CDCNTXCLSPR1001 - Dynamic scheduling failure. Detected total 16 anomalies: 1) Detected CPU contention on host: CDCNTXAHVPR1011 2) Detected CPU contention on host: CDCNTXAHVPR1001 3) Detected CPU contention on host: CDCNTXAHVPR1019 4) Detected CPU contention on host: CDCNTXA - Event ID:0242ac11-0007-af61-11ec-e93604c0e9e8,Rohit Gaur,DBSP-INT-NGCS-TIER2-NUTANIX,cdcntxclspr1001.uk.db.com,,,,11 June 2022,zip_interface,,,Hardware,Not Listed
INC0022293993,Nutanix/Alert / Dynamic scheduling failure. / Performance Cluster / CDCNTXCLSPR1001 - Dynamic scheduling failure. Detected total 12 anomalies: 1) Detected CPU contention on host: CDCNTXAHVPR1011 2) Detected CPU contention on host: CDCNTXAHVPR1001 3) Detected CPU contention on host: CDCNTXAHVPR1020 4) Detected CPU contention on host: CDCNTXA - Event ID:0242ac11-0007-af61-11ec-e94e9dde38f0,Rohit Gaur,DBSP-INT-NGCS-TIER2-NUTANIX,cdcntxclspr1001.uk.db.com,,,,11 June 2022,zip_interface,,,Hardware,Not Listed
INC0022293708,Nutanix/Alert / Dynamic scheduling failure. / Performance Cluster / CDCNTXCLSPR0401 - Dynamic scheduling failure. Detected total 22 anomalies: 1) Detected CPU contention on host: CDCNTXAHVPR0401 2) Detected CPU contention on host: CDCNTXAHVPR0417 3) Detected CPU contention on host: CDCNTXAHVPR0414 4) Detected CPU contention on host: CDCNTXA - Event ID:0242ac11-0007-af61-11ec-e93f17e110c0,Rohit Gaur,DBSP-INT-NGCS-TIER2-NUTANIX,cdcntxclspr0401.uk.db.com,,,,11 June 2022,zip_interface,,,Hardware,Not Listed
INC0022293600,Nutanix/Alert / Dynamic scheduling failure. / Performance Cluster / CDCNTXCLSPR0401 - Dynamic scheduling failure. Detected total 22 anomalies: 1) Detected CPU contention on host: CDCNTXAHVPR0401 2) Detected CPU contention on host: CDCNTXAHVPR0417 3) Detected CPU contention on host: CDCNTXAHVPR0414 4) Detected CPU contention on host: CDCNTXA - Event ID:0242ac11-0007-af61-11ec-e937d4ce5e66,Rohit Gaur,DBSP-INT-NGCS-TIER2-NUTANIX,cdcntxclspr0401.uk.db.com,,,,11 June 2022,zip_interface,,,Hardware,Not Listed
INC0022293790,Nutanix/Alert / Dynamic scheduling failure. / Performance Cluster / CDCNTXCLSPR0401 - Dynamic scheduling failure. Detected total 20 anomalies: 1) Detected CPU contention on host: CDCNTXAHVPR0401 2) Detected CPU contention on host: CDCNTXAHVPR0417 3) Detected CPU contention on host: CDCNTXAHVPR0414 4) Detected CPU contention on host: CDCNTXA - Event ID:0242ac11-0007-af61-11ec-e946a43630cd,Rohit Gaur,DBSP-INT-NGCS-TIER2-NUTANIX,cdcntxclspr0401.uk.db.com,,,,11 June 2022,zip_interface,,,Hardware,Not Listed
INC0022295185,Nutanix/Alert / Dynamic scheduling failure. / Performance Cluster / 2PKNTXCLSPR0401 - Dynamic scheduling failure. Detected total 13 anomalies: 1) Detected CPU contention on host: 2PKNTXAHVPR0408 2) Detected CPU contention on host: 2PKNTXAHVPR0407 3) Detected CPU contention on host: 2PKNTXAHVPR0403 4) Detected CPU contention on host: 2PKNTXA - Event ID:0242ac11-0015-bb1f-11ec-e9700b2bc79c,Rohit Gaur,DBSP-INT-NGCS-TIER2-NUTANIX,2pkntxclspr0401.us.db.com,,,,11 June 2022,zip_interface,,,Hardware,Not Listed
INC0022293636,Nutanix/Alert / CPU Average Load Critically High on Controller VM {ip_address} / SystemIndicator ControllerVM / NJ3NTXAHVPR0918 - Average CPU load on Controller VM 172.31.104.239 is critically high (above critical average load threshold value 100) - Event ID:0242ac11-0015-bb1f-11ec-e93a007dec43,Rohit Gaur,DBSP-INT-NGCS-TIER2-NUTANIX,nj3ntxahvpr0918.us.db.com,,,,11 June 2022,zip_interface,,,Hardware,Not Listed
INC0022296598,Nutanix/Alert / CPU Average Load Critically High on Controller VM {ip_address} / SystemIndicator ControllerVM / DSJNTXAHVPR0802 - Average CPU load on Controller VM 172.18.132.158 is critically high (above critical average load threshold value 100) - Event ID:0242ac11-000e-b27b-11ec-e9d2c9ee63ac,Rohit Gaur,DBSP-INT-NGCS-TIER2-NUTANIX,dsjntxahvpr0802.sg.db.com,,,,11 June 2022,zip_interface,,,Hardware,Not Listed
INC0022296507,Nutanix/Alert / CPU Average Load Critically High on Controller VM {ip_address} / SystemIndicator ControllerVM / DSJNTXAHVPR0802 - Average CPU load on Controller VM 172.18.132.158 is critically high (above critical average load threshold value 100) - Event ID:0242ac11-000e-b27b-11ec-e9ce98e0b2c2,Rohit Gaur,DBSP-INT-NGCS-TIER2-NUTANIX,dsjntxahvpr0802.sg.db.com,,,,11 June 2022,zip_interface,,,Hardware,Not Listed
INC0022295746,Nutanix/Alert / CPU Average Load Critically High on Controller VM {ip_address} / SystemIndicator ControllerVM / DCBNTXAHVPR1006 - Average CPU load on Controller VM 172.18.96.201 is critically high (above critical average load threshold value 100) - Event ID:0242ac11-0007-aa67-11ec-e993fbc3cc88,Rohit Gaur,DBSP-INT-NGCS-TIER2-NUTANIX,dcbntxahvpr1006.de.db.com,,,,11 June 2022,zip_interface,,,Hardware,Not Listed
INC0022294949,Nutanix/Alert / CPU Average Load Critically High on Controller VM {ip_address} / SystemIndicator ControllerVM / DCBNTXAHVPR1006 - Average CPU load on Controller VM 172.18.96.201 is critically high (above critical average load threshold value 100) - Event ID:0242ac11-0007-aa67-11ec-e96527c1e590,Rohit Gaur,DBSP-INT-NGCS-TIER2-NUTANIX,dcbntxahvpr1006.de.db.com,,,,11 June 2022,zip_interface,,,Hardware,Not Listed
INC0022293270,Nutanix/Alert / CPU Average Load Critically High on Controller VM {ip_address} / SystemIndicator ControllerVM / DCBNTXAHVPR1006 - Average CPU load on Controller VM 172.18.96.201 is critically high (above critical average load threshold value 100) - Event ID:0242ac11-0007-aa67-11ec-e921b4c7d39e,Rohit Gaur,DBSP-INT-NGCS-TIER2-NUTANIX,dcbntxahvpr1006.de.db.com,,,,11 June 2022,zip_interface,,,Hardware,Not Listed
INC0022294638,Nutanix/Alert / CPU Average Load Critically High on Controller VM {ip_address} / SystemIndicator ControllerVM / 2PKNTXAHVPR0818 - Average CPU load on Controller VM 172.31.108.183 is critically high (above critical average load threshold value 100) - Event ID:0242ac11-0015-bb1f-11ec-e95b96e7c522,Vishal Sunar,DBSP-INT-NGCS-TIER2-NUTANIX,2pkntxahvpr0818.us.db.com,,,,11 June 2022,zip_interface,,,No Fault Found,False Alert
INC0022294147,Nutanix/Alert / CPU Average Load Critically High on Controller VM {ip_address} / SystemIndicator ControllerVM / 2PKNTXAHVPR0415 - Average CPU load on Controller VM 172.31.108.66 is critically high (above critical average load threshold value 100) - Event ID:0242ac11-0015-bb1f-11ec-e954154a5467,Rohit Gaur,DBSP-INT-NGCS-TIER2-NUTANIX,2pkntxahvpr0415.us.db.com,,,,11 June 2022,zip_interface,,,Hardware,Not Listed
INC0022293808,"Nutanix/Alert / CPU Average Load critically high for a long time on CVM {cvm_ip} / SystemIndicator ControllerVM / NJ3NTXAHVPR0918 - CPU load is very high for ldavg-5 for a long time: 2247480.73, on node 172.31.104.239 - Event ID:0242ac11-0015-bb1f-11ec-e9478b5eac5d",Vishal Sunar,DBSP-INT-NGCS-TIER2-NUTANIX,nj3ntxahvpr0918.us.db.com,,,,11 June 2022,zip_interface,,,No Fault Found,False Alert
INC0022293768,"Nutanix/Alert / CPU Average Load critically high for a long time on CVM {cvm_ip} / SystemIndicator ControllerVM / NJ3NTXAHVPR0918 - CPU load is very high for ldavg-5 for a long time: 2247480.73, on node 172.31.104.239 - Event ID:0242ac11-0015-bb1f-11ec-e94430d3af54",Vishal Sunar,DBSP-INT-NGCS-TIER2-NUTANIX,nj3ntxahvpr0918.us.db.com,,,,11 June 2022,zip_interface,,,No Fault Found,False Alert
INC0022293721,"Nutanix/Alert / CPU Average Load critically high for a long time on CVM {cvm_ip} / SystemIndicator ControllerVM / NJ3NTXAHVPR0918 - CPU load is very high for ldavg-5 for a long time: 2247480.73, on node 172.31.104.239 - Event ID:0242ac11-0015-bb1f-11ec-e93ffd4e9634",Amit Kunapara,DBSP-INT-NGCS-TIER2-NUTANIX,nj3ntxahvpr0918.us.db.com,,,,11 June 2022,zip_interface,,,Capacity,CPU Load
INC0022293661,"Nutanix/Alert / CPU Average Load critically high for a long time on CVM {cvm_ip} / SystemIndicator ControllerVM / NJ3NTXAHVPR0918 - CPU load is very high for ldavg-5 for a long time: 2247480.73, on node 172.31.104.239 - Event ID:0242ac11-0015-bb1f-11ec-e93bcda1870c",Vishal Sunar,DBSP-INT-NGCS-TIER2-NUTANIX,nj3ntxahvpr0918.us.db.com,,,,11 June 2022,zip_interface,,,No Fault Found,False Alert
INC0022293493,"Nutanix/Alert / CPU Average Load critically high for a long time on CVM {cvm_ip} / SystemIndicator ControllerVM / NJ3NTXAHVPR0918 - CPU load is very high for ldavg-5 for a long time: 2247480.73, on node 172.31.104.239 - Event ID:0242ac11-0015-bb1f-11ec-e92ff0d3f4d7",Vishal Sunar,DBSP-INT-NGCS-TIER2-NUTANIX,nj3ntxahvpr0918.us.db.com,,,,11 June 2022,zip_interface,,,No Fault Found,False Alert
INC0022293191,"Nutanix/Alert / CPU Average Load critically high for a long time on CVM {cvm_ip} / SystemIndicator ControllerVM / NJ3NTXAHVPR0918 - CPU load is very high for ldavg-5 for a long time: 2247480.73, on node 172.31.104.239 - Event ID:0242ac11-0015-bb1f-11ec-e92003440fc1",Vishal Sunar,DBSP-INT-NGCS-TIER2-NUTANIX,nj3ntxahvpr0918.us.db.com,,,,11 June 2022,zip_interface,,,No Fault Found,False Alert
INC0022293142,"Nutanix/Alert / CPU Average Load critically high for a long time on CVM {cvm_ip} / SystemIndicator ControllerVM / NJ3NTXAHVPR0918 - CPU load is very high for ldavg-5 for a long time: 2247480.73, on node 172.31.104.239 - Event ID:0242ac11-0015-bb1f-11ec-e91bd32e5307",Vishal Sunar,DBSP-INT-NGCS-TIER2-NUTANIX,nj3ntxahvpr0918.us.db.com,,,,11 June 2022,zip_interface,,,No Fault Found,False Alert
INC0022296542,"Nutanix/Alert / CPU Average Load critically high for a long time on CVM {cvm_ip} / SystemIndicator ControllerVM / DSJNTXAHVPR0802 - CPU load is very high for ldavg-5 for a long time: 37189015.11, on node 172.18.132.158 - Event ID:0242ac11-000e-b27b-11ec-e9d0462cc09f",Rohit Gaur,DBSP-INT-NGCS-TIER2-NUTANIX,dsjntxahvpr0802.sg.db.com,,,,11 June 2022,zip_interface,,,Hardware,Not Listed
INC0022296226,"Nutanix/Alert / CPU Average Load critically high for a long time on CVM {cvm_ip} / SystemIndicator ControllerVM / DSJNTXAHVPR0802 - CPU load is very high for ldavg-5 for a long time: 34737656.58, on node 172.18.132.158 - Event ID:0242ac11-000e-b27b-11ec-e9bab0bc6c78",Rohit Gaur,DBSP-INT-NGCS-TIER2-NUTANIX,dsjntxahvpr0802.sg.db.com,,,,11 June 2022,zip_interface,,,Hardware,Not Listed
INC0022293859,"Nutanix/Alert / CPU Average Load critically high for a long time on CVM {cvm_ip} / SystemIndicator ControllerVM / 2PKNTXAHVPR0818 - CPU load is very high for ldavg-5 for a long time: 29091580.74, on node 172.31.108.183 - Event ID:0242ac11-0015-bb1f-11ec-e949fc79120a",Rohit Gaur,DBSP-INT-NGCS-TIER2-NUTANIX,2pkntxahvpr0818.us.db.com,,,,11 June 2022,zip_interface,,,Hardware,Not Listed
INC0022293769,"Nutanix/Alert / CPU Average Load critically high for a long time on CVM {cvm_ip} / SystemIndicator ControllerVM / 2PKNTXAHVPR0818 - CPU load is very high for ldavg-5 for a long time: 10649992.20, on node 172.31.108.183 - Event ID:0242ac11-0015-bb1f-11ec-e943d5c60e8a",Rohit Gaur,DBSP-INT-NGCS-TIER2-NUTANIX,2pkntxahvpr0818.us.db.com,,,,11 June 2022,zip_interface,,,Hardware,Not Listed
INC0022293755,"Nutanix/Alert / CPU Average Load critically high for a long time on CVM {cvm_ip} / SystemIndicator ControllerVM / 2PKNTXAHVPR0415 - CPU load is very high for ldavg-5 for a long time: 37342647.24, on node 172.31.108.66 - Event ID:0242ac11-0015-bb1f-11ec-e942be3106a7",Rohit Gaur,DBSP-INT-NGCS-TIER2-NUTANIX,2pkntxahvpr0415.us.db.com,,,,11 June 2022,zip_interface,,,Hardware,Not Listed
INC0022293864,"Nutanix/Alert / CPU Average Load critically high for a long time on CVM {cvm_ip} / SystemIndicator ControllerVM / 2PKNTXAHVPR0415 - CPU load is very high for ldavg-5 for a long time: 17973668.97, on node 172.31.108.66 - Event ID:0242ac11-0015-bb1f-11ec-e94a0a3f124b",Amit Kunapara,DBSP-INT-NGCS-TIER2-NUTANIX,2pkntxahvpr0415.us.db.com,,,,11 June 2022,zip_interface,,,Capacity,CPU Load
INC0022299217,Nutanix/Alert / CPU Average Load Critically High on Controller VM {ip_address} / SystemIndicator ControllerVM / DSJNTXAHVPR0802 - Average CPU load on Controller VM 172.18.132.158 is critically high (above critical average load threshold value 100) - Event ID:0242ac11-000e-b27b-11ec-ea95f82f523d,Rohit Gaur,DBSP-INT-NGCS-TIER2-NUTANIX,dsjntxahvpr0802.sg.db.com,,,,12 June 2022,zip_interface,,,Hardware,Not Listed
INC0022298261,Nutanix/Alert / CPU Average Load Critically High on Controller VM {ip_address} / SystemIndicator ControllerVM / DSJNTXAHVPR0802 - Average CPU load on Controller VM 172.18.132.158 is critically high (above critical average load threshold value 100) - Event ID:0242ac11-000e-b27b-11ec-ea4892503ecd,Rohit Gaur,DBSP-INT-NGCS-TIER2-NUTANIX,dsjntxahvpr0802.sg.db.com,,,,12 June 2022,zip_interface,,,Hardware,Not Listed
INC0022297992,Nutanix/Alert / CPU Average Load Critically High on Controller VM {ip_address} / SystemIndicator ControllerVM / DSJNTXAHVPR0802 - Average CPU load on Controller VM 172.18.132.158 is critically high (above critical average load threshold value 100) - Event ID:0242ac11-000e-b27b-11ec-ea385c2c7c72,Rohit Gaur,DBSP-INT-NGCS-TIER2-NUTANIX,dsjntxahvpr0802.sg.db.com,,,,12 June 2022,zip_interface,,,Hardware,Not Listed
INC0022297389,Nutanix/Alert / CPU Average Load Critically High on Controller VM {ip_address} / SystemIndicator ControllerVM / DSJNTXAHVPR0802 - Average CPU load on Controller VM 172.18.132.158 is critically high (above critical average load threshold value 100) - Event ID:0242ac11-000e-b27b-11ec-ea0d9b2e74ee,Rohit Gaur,DBSP-INT-NGCS-TIER2-NUTANIX,dsjntxahvpr0802.sg.db.com,,,,12 June 2022,zip_interface,,,Hardware,Not Listed
INC0022298799,Nutanix/Alert / CPU Average Load Critically High on Controller VM {ip_address} / SystemIndicator ControllerVM / DCBNTXAHVPR1006 - Average CPU load on Controller VM 172.18.96.201 is critically high (above critical average load threshold value 100) - Event ID:0242ac11-0007-aa67-11ec-ea6e2d2193d1,Benarjee Manepalli,DBSP-INT-NGCS-TIER2-NUTANIX,dcbntxahvpr1006.de.db.com,,,,12 June 2022,zip_interface,,,No Fault Found,False Alert
INC0022298622,Nutanix/Alert / CPU Average Load Critically High on Controller VM {ip_address} / SystemIndicator ControllerVM / DCBNTXAHVPR1006 - Average CPU load on Controller VM 172.18.96.201 is critically high (above critical average load threshold value 100) - Event ID:0242ac11-0007-aa67-11ec-ea60ab4098b9,Rohit Gaur,DBSP-INT-NGCS-TIER2-NUTANIX,dcbntxahvpr1006.de.db.com,,,,12 June 2022,zip_interface,,,Hardware,Not Listed
INC0022297432,Nutanix/Alert / CPU Average Load Critically High on Controller VM {ip_address} / SystemIndicator ControllerVM / DCBNTXAHVPR1006 - Average CPU load on Controller VM 172.18.96.201 is critically high (above critical average load threshold value 100) - Event ID:0242ac11-0007-aa67-11ec-ea0f7311862d,Vishal Sunar,DBSP-INT-NGCS-TIER2-NUTANIX,dcbntxahvpr1006.de.db.com,,,,12 June 2022,zip_interface,,,No Fault Found,False Alert
INC0022297325,Nutanix/Alert / CPU Average Load Critically High on Controller VM {ip_address} / SystemIndicator ControllerVM / DCBNTXAHVPR1006 - Average CPU load on Controller VM 172.18.96.201 is critically high (above critical average load threshold value 100) - Event ID:0242ac11-0007-aa67-11ec-ea077a78cb70,Rohit Gaur,DBSP-INT-NGCS-TIER2-NUTANIX,dcbntxahvpr1006.de.db.com,,,,12 June 2022,zip_interface,,,Hardware,Not Listed
INC0022296651,Nutanix/Alert / CPU Average Load Critically High on Controller VM {ip_address} / SystemIndicator ControllerVM / DCBNTXAHVPR1006 - Average CPU load on Controller VM 172.18.96.201 is critically high (above critical average load threshold value 100) - Event ID:0242ac11-0007-aa67-11ec-e9d9109cf736,Rohit Gaur,DBSP-INT-NGCS-TIER2-NUTANIX,dcbntxahvpr1006.de.db.com,,,,12 June 2022,zip_interface,,,Hardware,Not Listed
